id_recette,titre,instructions,temps_preparation,type_recette,score,note_base,image,difficulte,calories
1,Omelette,"1. Battre les œufs. 2. Saler, poivrer. 3. Cuire à la poêle avec du beurre.",10,Plat,4.5,4,omelette.jpg,Facile,200
2,Pâtes au beurre,1. Cuire les pâtes. 2. Égoutter. 3. Ajouter le beurre et le sel.,15,Plat,4.0,4,pates_beurre.jpg,Facile,400
3,Salade de tomates,"1. Couper les tomates et l'oignon. 2. Assaisonner avec huile, sel, poivre.",10,Entrée,4.2,5,salade_tomate.jpg,Facile,120
4,Poulet grillé,"1. Badigeonner le poulet d'huile. 2. Saler, poivrer. 3. Griller à la poêle.",20,Plat,4.6,5,poulet_grille.jpg,Moyen,300
5,Riz blanc,1. Cuire le riz dans l'eau bouillante salée 10 min. 2. Égoutter.,15,Accompagnement,3.8,3,riz.jpg,Facile,200
6,Crêpes (4p),"1. Mélanger farine, œufs, lait, sucre. 2. Laisser reposer 30min. 3. Cuire.",45,Dessert,4.7,5,crepes.jpg,Moyen,450
7,Purée,1. Cuire les pdt. 2. Écraser avec lait et beurre chaud. 3. Saler.,25,Accompagnement,4.3,4,puree.jpg,Facile,250
8,Croque-Monsieur,"1. Beurre sur pain. 2. Ajouter jambon, gruyère. 3. Cuire à la poêle.",15,Plat,4.4,4,croque.jpg,Facile,450
9,Œufs brouillés,"1. Battre œufs, lait, sel, poivre. 2. Cuire doucement au bain-marie.",10,Plat,4.1,4,oeufs_brouilles.jpg,Facile,220
10,Pâtes sauce tomate,"1. Cuire pâtes. 2. Faire revenir ail, oignon, tomates. 3. Mélanger.",20,Plat,4.5,5,pates_tomate.jpg,Moyen,380
11,Vinaigrette simple,"1. Mélanger huile, vinaigre, moutarde. 2. Saler, poivrer.",5,Sauce,4.0,4,vinaigrette.jpg,Facile,80
12,Sauce au yaourt,"1. Mélanger yaourt, citron, sel.",5,Sauce,4.2,4,sauce_yaourt.jpg,Facile,60
13,Poulet crème-champignons,1. Cuire poulet et oignons. 2. Ajouter champignons. 3. Ajouter crème.,30,Plat,4.7,5,poulet_creme.jpg,Moyen,550
14,Pâtes Carbonara (simple),1. Cuire pâtes. 2. Cuire lardons. 3. Mélanger œufs et parmesan. 4. Tout combiner.,20,Plat,4.6,5,carbo.jpg,Moyen,650
